cod_ine,nombre,concejales,concejales_hombres,concejales_mujeres,concejo,votacion,resultado
50601,Cotagaita,7,4,3,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""A.A.O.Q."",""v"":1}]",,
50602,Vitichi,5,3,2,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""AS"",""v"":1}]",,
50701,Sacaca,5,3,2,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""M.O.P."",""v"":1}]",,
50702,Caripuyo,4,2,2,"[{""s"":""MAS-IPSP"",""v"":5}]",,
50801,Tupiza,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""PNP"",""v"":4}]",,
50802,Atocha,5,2,3,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""A.C.U."",""v"":2}]",,
50901,"Colcha ""K""",7,3,4,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":1},{""s"":""AS"",""v"":1}]",,
50902,San Pedro de Quemes,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":2}]",,
51001,San Pablo de Lipez,7,4,3,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""M.O.P."",""v"":2}]",,
51002,Mojinete,5,3,2,"[{""s"":""MAS-IPSP"",""v"":1},{""s"":""M.O.P."",""v"":2}]",,
51003,San Antonio de Esmoruco,,,,[],,
51101,Puna,5,3,2,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""A.A.O.Q."",""v"":1}]",,
51102,"Caiza ""D""",5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":1},{""s"":""AINI"",""v"":1}]",,
51103,Ckochas,5,3,2,"[{""s"":""MAS-IPSP"",""v"":5}]",,
51201,Uyuni,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""AS"",""v"":2}]",,
51202,Tomave,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""AS"",""v"":1},{""s"":""FCRP"",""v"":1}]",,
51203,Porco,11,6,5,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""AS"",""v"":2}]",,
51301,Arampampa,5,2,3,"[{""s"":""MAS-IPSP"",""v"":5}]",,
